Gender,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Do you believe in ghosts?
Male,55-64,Democrat,Strongly disapprove,High school,White,Married,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,No
Other,65+,Independent,DK/REF,High school,DK/REF,Single,DK/REF,Real and Caused by People,,DK/REF,Somewhat Agree,DK/REF,DK/REF,DK/REF,DK/REF,Yes
Other,25-34,DK/REF,Strongly Approve,Graduate degree,Asian,Separated,Likely,Not Real At All,5,Somewhat Agree,Neither Agree nor Disagree,DK/REF,FALSE,Smart and Sad,Acceptable,Yes
Female,65+,Democrat,Strongly disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Male,55-64,DK/REF,Neither approve nor disapprove,Graduate degree,White,Single,Unlikely,Not Real At All,0,DK/REF,Strongly Disagree,DK/REF,DK/REF,DK/REF,DK/REF,No
Male,65+,Independent,DK/REF,Some college,White,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,35-44,DK/REF,Strongly Approve,Graduate degree,Latino,In a relationship,Unlikely,Real but not Caused by People,0,DK/REF,Somewhat Disagree,Too Low,TRUE,DK/REF,DK/REF,No
Male,35-44,Independent,Neither approve nor disapprove,Graduate degree,Asian,Single,Likely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,About Right,FALSE,DK/REF,Acceptable,No
Male,18-24,DK/REF,Somewhat Approve,High school,White,Single,Unlikely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Male,55-64,Independent,Strongly Approve,College degree,White,Separated,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,DK/REF,Smart and Sad,Acceptable,Yes
Female,18-24,Independent,Somewhat disapprove,Some college,Latino,Single,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,Too Low,FALSE,Dumb and happy,Acceptable,Yes
Male,35-44,Democrat,Somewhat Approve,College degree,White,Single,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Disagree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,18-24,Independent,DK/REF,Some college,White,Married,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
DK/REF,55-64,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,Too High,TRUE,Dumb and happy,Acceptable,No
Female,45-54,Independent,Strongly Approve,Some college,White,Married,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Female,65+,Republican,Somewhat disapprove,Some college,White,Widowed,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,About Right,TRUE,Smart and Sad,Acceptable,No
Male,35-44,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,45-54,Independent,Strongly Approve,Some college,White,Married,Likely,Real but not Caused by People,0,Somewhat Agree,Strongly Disagree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,35-44,Independent,Somewhat Approve,College degree,White,Single,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Acceptable,Yes
Female,45-54,Democrat,Somewhat disapprove,Some college,Latino,Married,Unlikely,Not Real At All,2,Somewhat Disagree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Other,45-54,Independent,Strongly Approve,Graduate degree,White,In a relationship,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,65+,Republican,Strongly Approve,College degree,White,Divorced,Unlikely,Not Real At All,,Somewhat Disagree,Strongly Agree,About Right,DK/REF,Smart and Sad,Unacceptable,Yes
Female,35-44,Democrat,Strongly disapprove,College degree,Black,Married,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Female,18-24,Democrat,Strongly disapprove,Some college,Latino,Single,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Disagree,DK/REF,DK/REF,Smart and Sad,Acceptable,Yes
Other,35-44,Independent,Strongly Approve,Graduate degree,Black,Single,Likely,Not Real At All,2,Somewhat Agree,Somewhat Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Female,65+,Democrat,Strongly disapprove,Other,White,Married,DK/REF,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,Too High,TRUE,Dumb and happy,Unacceptable,No
Male,65+,DK/REF,Strongly disapprove,Some college,White,Widowed,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,DK/REF,No
Female,45-54,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,45-54,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Acceptable,No
Female,35-44,Independent,Strongly disapprove,High school,White,Married,DK/REF,Not Real At All,1,Strongly Disagree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Male,45-54,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Female,45-54,Republican,DK/REF,Graduate degree,Latino,In a relationship,Likely,DK/REF,1,Strongly Agree,Strongly Agree,Too High,DK/REF,DK/REF,Unacceptable,Yes
Male,45-54,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,25-34,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,Yes
Male,25-34,Independent,Somewhat Approve,Some college,White,DK/REF,Unlikely,Real but not Caused by People,3,Strongly Disagree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Male,45-54,Republican,Somewhat Approve,High school,White,Married,Unlikely,Not Real At All,3,Somewhat Disagree,Somewhat Disagree,Too High,FALSE,Dumb and happy,Acceptable,Yes
Male,65+,Democrat,Strongly disapprove,Some college,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,DK/REF,DK/REF,No
Male,35-44,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,Too Low,TRUE,DK/REF,Acceptable,Yes
Female,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,Too High,FALSE,Dumb and happy,Acceptable,Yes
Female,45-54,Democrat,Strongly disapprove,High school,Black,Widowed,Likely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Female,45-54,Republican,Somewhat Approve,Graduate degree,White,Married,Unlikely,Real but not Caused by People,1,Strongly Agree,Somewhat Agree,Too High,TRUE,Smart and Sad,DK/REF,No
Female,25-34,Independent,Neither approve nor disapprove,College degree,Asian,Single,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Female,35-44,DK/REF,DK/REF,Graduate degree,Latino,Divorced,DK/REF,Real and Caused by People,2,Somewhat Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Acceptable,Yes
Female,18-24,Democrat,DK/REF,College degree,Asian,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Male,25-34,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,45-54,DK/REF,Somewhat disapprove,High school,White,Divorced,Likely,Real but not Caused by People,0,Strongly Agree,DK/REF,Too High,TRUE,Smart and Sad,Unacceptable,No
Male,45-54,Democrat,Strongly disapprove,Graduate degree,Asian,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,Republican,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,45-54,DK/REF,Strongly disapprove,College degree,Black,Divorced,Likely,Real but not Caused by People,,Strongly Agree,Neither Agree nor Disagree,DK/REF,TRUE,DK/REF,DK/REF,Yes
Female,45-54,Democrat,Strongly disapprove,Graduate degree,Asian,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,18-24,DK/REF,Strongly disapprove,High school,Black,Single,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,About Right,FALSE,Dumb and happy,DK/REF,No
Female,25-34,Independent,Strongly disapprove,Some college,Black,Married,Likely,Real but not Caused by People,3,Strongly Agree,Somewhat Disagree,Too High,FALSE,Smart and Sad,Acceptable,Yes
Female,25-34,Independent,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,18-24,Republican,Strongly Approve,Some college,White,Single,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Male,65+,Independent,Strongly Approve,College degree,White,Divorced,Likely,Real but not Caused by People,3,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Female,45-54,Democrat,Strongly disapprove,Some college,White,In a relationship,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,Too Low,DK/REF,Dumb and happy,Unacceptable,Yes
Female,65+,DK/REF,Somewhat Approve,Some college,White,Widowed,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,FALSE,Smart and Sad,Unacceptable,No
Male,65+,Democrat,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,DK/REF
Female,45-54,Independent,Neither approve nor disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Female,18-24,Democrat,Somewhat disapprove,College degree,Latino,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,Too High,TRUE,Smart and Sad,Unacceptable,No
Male,35-44,DK/REF,Strongly disapprove,Some college,Asian,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,Too Low,DK/REF,Smart and Sad,Unacceptable,DK/REF
Male,18-24,Independent,DK/REF,Some college,Asian,In a relationship,Likely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Male,65+,Democrat,Somewhat Approve,Some college,White,Widowed,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,DK/REF,FALSE,Dumb and happy,Acceptable,No
Female,18-24,Independent,Strongly disapprove,College degree,Latino,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,DK/REF,Smart and Sad,Unacceptable,No
Female,65+,Independent,Somewhat Approve,College degree,White,Widowed,Unlikely,DK/REF,,Somewhat Disagree,DK/REF,DK/REF,TRUE,DK/REF,Unacceptable,No
Female,35-44,DK/REF,DK/REF,College degree,Asian,Single,Likely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Female,35-44,Democrat,Strongly disapprove,Some college,Asian,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,Yes
Male,25-34,Independent,Somewhat Approve,Some college,Other,In a relationship,Unlikely,Real and Caused by People,5,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Male,45-54,DK/REF,DK/REF,College degree,DK/REF,Single,Unlikely,Real and Caused by People,3,Strongly Disagree,DK/REF,Too High,DK/REF,Smart and Sad,DK/REF,No
Male,25-34,DK/REF,Neither approve nor disapprove,Some college,Latino,Single,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Male,25-34,Independent,Strongly disapprove,College degree,Other,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,45-54,Independent,DK/REF,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,DK/REF,DK/REF
Male,18-24,Democrat,Strongly disapprove,Some college,White,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,25-34,Democrat,Somewhat disapprove,Some college,Black,In a relationship,Unlikely,Real and Caused by People,3,Somewhat Disagree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,Yes
Other,25-34,Independent,Somewhat Approve,College degree,White,DK/REF,Likely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,Too High,FALSE,Smart and Sad,Acceptable,No
Male,25-34,Democrat,Strongly Approve,High school,White,Single,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Male,25-34,DK/REF,Neither approve nor disapprove,Graduate degree,Black,Single,Unlikely,DK/REF,3,Somewhat Disagree,Neither Agree nor Disagree,Too Low,DK/REF,Dumb and happy,Acceptable,No
Female,35-44,DK/REF,DK/REF,College degree,White,Married,Unlikely,DK/REF,2,Strongly Agree,Somewhat Agree,About Right,TRUE,Smart and Sad,Unacceptable,Yes
Male,65+,DK/REF,Strongly Approve,High school,White,Married,Unlikely,Real but not Caused by People,,Somewhat Agree,Strongly Agree,Too High,DK/REF,Dumb and happy,DK/REF,No
Other,18-24,DK/REF,Strongly Approve,Other,Black,Single,Likely,Real and Caused by People,3,Strongly Disagree,Somewhat Disagree,Too High,FALSE,Dumb and happy,Acceptable,No
Male,25-34,Republican,Somewhat disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Female,35-44,Independent,Strongly Approve,High school,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Disagree,Too High,FALSE,Dumb and happy,Acceptable,No
Female,65+,Independent,Somewhat disapprove,High school,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,FALSE,DK/REF,DK/REF,No
Male,18-24,Independent,Strongly disapprove,Graduate degree,Latino,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Male,65+,Democrat,Strongly disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Male,35-44,Republican,Strongly Approve,Some college,Latino,Married,Unlikely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,About Right,FALSE,DK/REF,Acceptable,No
Male,65+,Republican,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,0,Strongly Disagree,DK/REF,About Right,TRUE,Dumb and happy,Acceptable,DK/REF
Female,18-24,Democrat,Strongly disapprove,High school,White,Single,Likely,Real and Caused by People,4,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,25-34,Independent,Strongly disapprove,Some college,Black,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Male,18-24,Independent,Neither approve nor disapprove,Some college,White,Single,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,45-54,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Female,65+,Republican,Strongly Approve,High school,White,Married,Likely,DK/REF,0,Somewhat Disagree,Somewhat Disagree,Too High,DK/REF,Dumb and happy,Unacceptable,Yes
Female,65+,Democrat,Strongly disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,DK/REF,No
Female,35-44,Democrat,Strongly disapprove,High school,Black,Single,Likely,Real and Caused by People,4,Strongly Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,18-24,DK/REF,DK/REF,College degree,White,Single,Likely,DK/REF,0,Strongly Disagree,DK/REF,DK/REF,FALSE,Dumb and happy,DK/REF,No
Male,18-24,Republican,Somewhat Approve,Some college,White,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,25-34,DK/REF,DK/REF,Some college,Black,In a relationship,Unlikely,Real but not Caused by People,,DK/REF,Strongly Agree,DK/REF,TRUE,DK/REF,DK/REF,Yes
Female,65+,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,FALSE,Smart and Sad,DK/REF,No
Female,65+,DK/REF,Somewhat Approve,DK/REF,White,Married,DK/REF,DK/REF,0,Somewhat Agree,Somewhat Agree,About Right,TRUE,DK/REF,Unacceptable,Yes
Female,25-34,Independent,Somewhat Approve,College degree,White,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,45-54,Republican,Strongly Approve,High school,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,DK/REF,Yes
Male,35-44,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,DK/REF,No
Female,25-34,Independent,Strongly disapprove,Some college,White,Married,Unlikely,DK/REF,1,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Male,45-54,Independent,DK/REF,High school,White,Married,Likely,Real and Caused by People,5,Somewhat Disagree,Strongly Disagree,DK/REF,TRUE,Dumb and happy,Acceptable,No
Female,45-54,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Unacceptable,Yes
Female,35-44,Democrat,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Female,35-44,Democrat,Strongly disapprove,Graduate degree,DK/REF,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,Yes
Female,65+,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,Too Low,TRUE,Smart and Sad,Acceptable,DK/REF
Female,45-54,Democrat,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Disagree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Male,45-54,Republican,Somewhat Approve,College degree,White,Married,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Other,65+,Independent,Somewhat Approve,Graduate degree,DK/REF,DK/REF,Unlikely,Not Real At All,0,Strongly Agree,Strongly Disagree,About Right,TRUE,Smart and Sad,Unacceptable,Yes
Female,25-34,DK/REF,Strongly disapprove,Graduate degree,Latino,In a relationship,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,Yes
Female,45-54,Republican,Strongly Approve,Some college,White,Married,Likely,Real but not Caused by People,0,DK/REF,DK/REF,DK/REF,DK/REF,Dumb and happy,Unacceptable,No
Male,65+,Independent,Somewhat disapprove,High school,Asian,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,Too High,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,DK/REF,DK/REF,Some college,White,Widowed,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Female,45-54,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,45-54,DK/REF,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,DK/REF,No
Female,65+,Democrat,Strongly disapprove,High school,White,Married,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Female,45-54,Democrat,Strongly disapprove,Other,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,DK/REF,Smart and Sad,Acceptable,Yes
Female,65+,Independent,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Other,25-34,Independent,Strongly disapprove,High school,Latino,Single,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,DK/REF,TRUE,Dumb and happy,Acceptable,No
Male,45-54,Democrat,Strongly disapprove,College degree,Latino,In a relationship,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Female,18-24,Independent,Strongly disapprove,Some college,White,In a relationship,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,DK/REF,FALSE,Smart and Sad,Acceptable,Yes
Male,45-54,Republican,Strongly Approve,Graduate degree,White,Single,Unlikely,Real but not Caused by People,5,Strongly Disagree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Acceptable,Yes
Female,35-44,Independent,Strongly disapprove,High school,White,Widowed,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Female,35-44,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Female,25-34,Democrat,Strongly disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Disagree,Too High,FALSE,Smart and Sad,Acceptable,No
Male,25-34,DK/REF,DK/REF,College degree,Latino,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,Too Low,FALSE,DK/REF,Unacceptable,No
Female,65+,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Male,35-44,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,25-34,Republican,Neither approve nor disapprove,College degree,White,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,Too Low,FALSE,Dumb and happy,Acceptable,No
Male,45-54,Independent,Somewhat disapprove,High school,Black,Single,Unlikely,Real and Caused by People,1,Neither Agree nor Disagree,Somewhat Disagree,Too High,TRUE,DK/REF,Unacceptable,No
Male,18-24,Democrat,Somewhat Approve,Graduate degree,Black,In a relationship,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,No
Male,65+,Democrat,Somewhat disapprove,High school,Black,Single,Likely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,Too High,TRUE,Dumb and happy,Acceptable,No
Male,65+,Republican,DK/REF,Some college,White,Divorced,Unlikely,DK/REF,1,DK/REF,DK/REF,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,65+,Democrat,DK/REF,College degree,Latino,Married,Unlikely,Real and Caused by People,0,DK/REF,DK/REF,DK/REF,DK/REF,Dumb and happy,Unacceptable,No
Female,45-54,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,25-34,Democrat,Strongly disapprove,Graduate degree,DK/REF,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,Yes
Female,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,DK/REF,3,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Male,45-54,Independent,Strongly disapprove,Graduate degree,Black,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Female,25-34,Independent,Strongly disapprove,College degree,Black,Single,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,DK/REF,TRUE,Smart and Sad,Acceptable,Yes
Female,25-34,Democrat,Strongly disapprove,High school,White,In a relationship,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Disagree,Too High,TRUE,Smart and Sad,Unacceptable,Yes
Male,18-24,Republican,Strongly Approve,Some college,White,Single,Unlikely,Real but not Caused by People,4,Strongly Disagree,Strongly Agree,Too High,TRUE,Smart and Sad,Acceptable,No
Male,35-44,DK/REF,DK/REF,Some college,Latino,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Male,25-34,Independent,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Female,45-54,Republican,Somewhat Approve,Some college,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,Yes
Male,35-44,Republican,Strongly disapprove,High school,DK/REF,In a relationship,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,18-24,Democrat,Strongly disapprove,Some college,White,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,No
Female,65+,Democrat,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,DK/REF,DK/REF,DK/REF,Yes
